USERID	SKIP	ADDS	NOVEL	SATIS	UNDERS	ACC	STAR
208845	0	0,11	1,89	1,89	2,11	0	0
208856	0	0,22	2,22	2,44	2,78	0	0
208859	0	0,44	3,11	3,78	3,56	0	0
208860	0	0,56	3,67	3,78	3,78	0	0
208861	0	0,56	3,33	3,78	3,44	0	0
208862	0	1	3,89	3,78	3,89	0	0
208863	1	0	1	1	1	0	0
208864	0	0	2,78	1,56	2,78	0	0
208865	0	0,22	2,22	2,11	3	0	0
208866	1	0,22	2,11	2	2,33	0	0
208867	1	0,56	2,11	2	2,56	0	0
208869	1	�	�	�	�	�	�
208870	0	0	1,67	1,78	1,78	0	0
208871	1	0,22	2	1,78	1,89	0	0
208873	0	0	2	2,22	2,33	0	0
208874	0	0	2	1,67	2,11	0	0
208875	0	0	1,56	1,67	1,33	0	0
208876	1	0	1,22	1,22	1,22	0	0
208877	2	0,67	2,67	3,89	3,22	0	0
208878	0	0,44	2,78	3,78	3,78	0	0
208879	0	0,22	3,56	3,89	3,89	0	0
208880	2	0,67	3,67	3,78	3,89	0	0
208881	0	0,22	2,22	2,11	1,89	0	0
208882	1	0,33	2,22	1,22	1,89	0	0
208883	2	0,22	1,89	2	1,78	0	0
208884	0	0	2,56	2,56	2,44	0	0
208885	0	0	1	1	1	0	0
208886	0	0,11	1,67	1,89	1,67	0	0
208887	0	0,11	2,11	1,56	2	0	0
208888	2	0,11	2,11	2	2,33	0	0
208889	1	0	1,89	1,67	1,89	0	0
208890	1	0	2,22	1,22	1,78	0	0
208891	1	0,11	1,56	2,22	2,22	0	0
208892	0	0,56	3,22	4	3,78	0	0
208893	0	0,11	2,78	2	2,33	0	0
208894	0	0	2,11	2	2,33	0	0
208895	0	0	2,11	2	2,22	0	0
208940	0	0,11	2,33	2,44	2,56	0	0
208941	0	0,56	2,11	3,56	3,33	0	0
208942	0	0,78	3,22	3,78	3,56	0	0
208943	0	0,83	4	3,67	4	0	0
208946	0	0,44	2,89	3	3	0	0
208947	0	0,44	4	4,33	4,44	0	0
208948	0	0,33	2,44	2,44	2,44	0	0
208949	4	1	4,56	5	4,44	0	0
208952	0	0,78	3,78	3,56	3,33	0	0
208953	0	0,56	3,44	3,56	3,44	0	0
208955	6	�	�	�	�	�	�
208956	2	�	�	�	�	�	�
208957	0	0,56	2,33	2,89	2,78	0	0
208958	0	0	1	1	1	0	0



USERID	SKIP	ADDS	NOVEL	SATIS	UNDERS	ACC	STAR
208845	0	0	1,83	2,17	1,83	0	0
208846	0	0,5	3,5	4,17	4,17	0	0
208848	0	0,11	2,33	2,56	2,22	0	0
208849	0	0,67	2,33	3,89	4,22	0	0
208850	0	0,44	2,67	2,78	2,89	0	0
208851	0	1	3,67	3,89	3,78	0	0
208852	0	0,67	4,11	3,33	3,11	0	0
208853	1	0,56	3,11	4,78	4,44	0	0
208854	0	0,33	3,11	3,89	3,67	0	0
208855	2	0,67	2,83	3,5	3,5	0	0
208896	1	0,78	4,11	4,44	4,11	0	0
208897	0	0,33	3,67	3,22	3,56	0	0
208899	2	0,44	3,78	3,67	3,89	0	0
208900	1	0,56	3	3,67	3	0	0
208901	0	0,44	3,56	3,78	3,78	0	0
208902	0	0,67	4	3,78	3,67	0	0
208903	0	0,56	4,44	4	3,89	0	0
208904	0	0,44	3,78	3,56	3,44	0	0
208905	0	0,67	4,11	3,78	3,89	0	0
208906	0	0,67	3,89	3,78	3,89	0	0
208907	0	0,67	4,33	4,44	4,33	0	0
208908	0	0,33	2,11	2,11	2,11	0	0
208909	0	0,56	4	4,33	4,67	0	0
208910	0	0	1,42	2,67	2,33	0	0
208912	0	0,67	2,67	2,67	2	0	0
208913	0	0,56	1,67	3,11	2,89	0	0
208914	1	0,89	3,44	3,78	3,56	0	0
208915	0	0,56	3,22	3,67	3,67	0	0
208916	0	0,33	1,29	1,62	1,52	0	0
208917	0	0,67	4,11	3,78	4,67	0	0
208918	0	0,56	3,11	3,89	4	0	0
208919	0	0,44	4,11	4,22	4,22	0	0
208920	1	0,44	3,33	3,44	3,56	0	0
208921	0	0,33	3,11	3,56	3,33	0	0
208922	0	0,22	3,44	2,22	1,78	0	0
208923	0	0,22	3,56	2,22	2	0	0
208924	1	0,29	1,29	1,46	1,33	0	0
208925	0	0,4	2,07	2,4	2,27	0	0
208926	0	0,17	1,5	1,94	1,78	0	0
208927	1	0,33	4,33	4,33	4	0	0
208928	0	0,22	1,78	1,78	1,78	0	0
208929	0	0,78	4,44	4,44	4,44	0	0
208930	0	0,56	3,44	3,44	3,44	0	0
208931	0	1	4,89	5	5	0	0
208932	0	1	4,56	4,56	4,22	0	0
208933	0	1	4,11	4,78	4,22	0	0
208934	0	0,89	3,89	4,11	4,11	0	0
208935	0	0,78	2,33	3,56	3,67	0	0
208936	0	0	2	2,67	2,78	0	0
208937	0	0,67	3,78	4,44	4,33	0	0
208938	0	0,33	3,11	2,89	2,89	0	0
